OPERATORE;ID IMPIANTO;TIPO;UBICAZIONE;LAT.;LONG.;ALTITUDINE;CANALE;BOUQUET;ERP MAX H;ERP MAX V;FREQ. CENTRALE/PORTANTE
NOVARADIO A SRL;CNF140567;FM;Radio Marconi 2 - via guglielmo silva - MILANO;45N2845;09E0849;129;n.d.;Radio Marconi 2;;44;95
ELITE S.R.L.;CNF140637;FM;RADIO MILLENNIUM MILANO - VIA SAN GALDINO n. 5 - MILANO;45N2920;09E1000;126;n.d.;RADIO MILLENNIUM MILANO;;47;88,7
RADIO ARCOBALENO DI OROBELLO GIUSEPPE & C. S.A.S.;CNF140692;FM;Radio Arcobaleno - Via Casati Grattacielo Breda - Milano;45N2845;09E1140;122;n.d.;Radio Arcobaleno;;45;89,5
ASSOCIAZIONE KRISTALL RADIO MILANO;CNF141301;FM;KRISTALL RADIO MILANO - VIA LODOVICO IL MORO 165 - MILANO;45N2626;09E0744;130;n.d.;KRISTALL RADIO MILANO;;30;96,4
RTL 102,500 HIT RADIO S.R.L.;CNF141458;FM;RTL 102.500 Hit Radio - VIA SAN GALDINO N. 5 - MILANO;45N2830;09E1008;127;n.d.;RTL 102.500 Hit Radio;;;101,5
RADIO CLASSICA S.R.L. IN FORMA ABBREVIATA RADIO CLASS S.R.L.;CNF141470;FM;RADIO CLASSICA 1 - VIA SILVA 36 - MILANO;45N2845;09E0849;129;n.d.;RADIO CLASSICA 1;;37;94
ITALIAN INTERNATIONAL RADIO AND MEDIA S.R.L.;CNF141538;FM;CHINA FM - TORRE VELASCA - MILANO;45N2735;09E1126;117;n.d.;CHINA FM;;37;92,4
RADIO COMMUNICATION SERVICES SRL IN VIA BREVE R.C.S. SRL.;CNF141550;FM;RADIO LOMBARDIA - VIA SAPONARO 24 - MILANO;45N2430;09E1000;100;n.d.;RADIO LOMBARDIA;;39;100,4
RADIO LAGOUNO S.R.L.;CNF142218;FM;RADIO NUMBER 1 - VIA VINCENZO DA SEREGNO - MILANO;45N3143;09E1015;125;n.d.;RADIO NUMBER 1;;37;104,3
ELEMEDIA S.P.A.;CNF142461;FM;m2o - VIA SAN GALDINO - MILANO;45N2902;09E1244;122;n.d.;m2o;;47;91
ELEMEDIA S.P.A.;CNF142465;FM;m2o - VIA CASATI ANGOLO REPUBBLICA-BREDA - MILANO;45N2848;09E1158;130;n.d.;m2o;;;91,7
ELEMEDIA S.P.A.;CNF142476;FM;RADIO CAPITAL - SAN GALDINO - MILANO;45N3100;09E1400;124;n.d.;RADIO CAPITAL;;30;90,3
ELEMEDIA S.P.A.;CNF142492;FM;RADIO DEEJAY - Via S.Galdino 5 - MILANO;45N2905;09E1056;210;n.d.;RADIO DEEJAY;;51;99,7
PRIVERNO S.R.L.;CNF142825;FM;RADIO SPORTIVA - VIA SAPONARO 35 - MILANO;45N2500;09E1038;108;n.d.;RADIO SPORTIVA;;36;101,7
IL SOLE 24 ORE S.P.A.;CNF143125;FM;RADIO 24 IL SOLE 24 ORE - VIA TRAIANO 54 - MILANO;45N2920;09E0854;130;n.d.;RADIO 24 IL SOLE 24 ORE;;;105
RITZLAND RECORDS S.R.L;CNF144509;FM;DISCORADIO - Via Turati - Milano;45N2839;09E1144;122;n.d.;DISCORADIO;;30;96,2
RMC 2 S.R.L.;CNF144519;FM;MCSPORT 1 - TORRE VELASCA - MILANO;45N2735;09E1126;117;n.d.;MCSPORT 1;;40;95,9
RADIO ITALIA S.P.A.;CNF145246;FM;RADIO ITALIA SOLO MUSICA ITALIANA - VIA CASATI 45 - PALAZZO BREDA - MILANO;45N2849;09E1200;119;n.d.;RADIO ITALIA SOLO MUSICA ITALIANA;;;98,4
RADIO ITALIA S.P.A.;CNF145247;FM;RADIO ITALIA SOLO MUSICA ITALIANA - VIA VALDEVERO - MILANO;45N2731;09E0640;120;n.d.;RADIO ITALIA SOLO MUSICA ITALIANA;;44;106,5
